att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.2027-DEC40398-ATT4,false,Art. 6(1)(b),DEUTSCHE BANK / SAP / JV,2000-06-09,2000-07-13,Merger,M.2027,Council Regulation 4064/89,Normal procedure,DEUTSCHE BANK / SAP / JV,2000-07-13,40398,2000-09-05,DecisionType310,Art. 6(1)(b),en,M.2027-DEC40398
M.2028-DEC40399-ATT4,false,Art. 6(1)(b),ABB / BILFINGER / MVV ENERGIE / JV,2000-06-22,2000-07-25,Merger,M.2028,Council Regulation 4064/89,Normal procedure,ABB / BILFINGER / MVV ENERGIE / JV,2000-07-25,40399,2000-08-31,DecisionType310,Art. 6(1)(b),en,M.2028-DEC40399
M.422-DEC38431-ATT2,false,Art. 6(1)(b) with conditions & obligations,UNILEVER FRANCE / ORTIZ MIKO (II),1994-02-14,1994-03-15,Merger,M.422,Council Regulation 4064/89,Normal procedure,UNILEVER FRANCE / ORTIZ MIKO (II),1994-03-15,38431,1994-04-19,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.422-DEC38431
M.2029-DEC40400-ATT3,false,Art. 6(1)(b),TATE & LYLE / AMYLUM,2000-07-07,2000-08-11,Merger,M.2029,Council Regulation 4064/89,Normal procedure,TATE & LYLE / AMYLUM,2000-08-11,40400,2000-08-31,DecisionType310,Art. 6(1)(b),en,M.2029-DEC40400
M.420-DEC38429-ATT2,false,Art. 6(1)(b),KPR / CGP,1994-03-09,1994-04-14,Merger,M.420,Council Regulation 4064/89,Normal procedure,KPR / CGP,1994-04-14,38429,1994-04-20,DecisionType310,Art. 6(1)(b),en,M.420-DEC38429
M.2023-DEC40394-ATT6,false,Art. 6(1)(b),BRAMBLES / ERMEWA / JV,2000-06-30,2000-08-04,Merger,M.2023,Council Regulation 4064/89,Normal procedure,BRAMBLES / ERMEWA / JV,2000-08-04,40394,2000-09-22,DecisionType310,Art. 6(1)(b),en,M.2023-DEC40394
M.425-DEC38436-ATT3,false,Art. 6(1)(a),BS / BT,1994-02-25,1994-03-28,Merger,M.425,Council Regulation 4064/89,Normal procedure,BS / BT,1994-03-28,38436,1994-05-17,DecisionType300,Art. 6(1)(a),en,M.425-DEC38436
M.2024-DEC40395-ATT4,false,Art. 6(1)(b),INVENSYS / BAAN,2000-06-05,2000-07-07,Merger,M.2024,Council Regulation 4064/89,Normal procedure,INVENSYS / BAAN,2000-07-07,40395,2000-10-10,DecisionType310,Art. 6(1)(b),en,M.2024-DEC40395
M.1177-DEC39385-ATT4,false,Art. 6(1)(b),BELGACOM / TELE DANMARK / TULIP,1998-04-16,1998-05-19,Merger,M.1177,Council Regulation 4064/89,Normal procedure,BELGACOM / TELE DANMARK / TULIP,1998-05-19,39385,1998-07-09,DecisionType310,Art. 6(1)(b),en,M.1177-DEC39385
M.426-DEC38437-ATT4,false,Art. 6(1)(b),RHONE POULENC / COOPER,1994-03-11,1994-04-18,Merger,M.426,Council Regulation 4064/89,Normal procedure,RHONE POULENC / COOPER,1994-04-18,38437,1994-04-23,DecisionType310,Art. 6(1)(b),en,M.426-DEC38437
