case_caseNumber,case_caseSectors_code,case_caseSectors_label,case_caseSectors_code_level1,case_caseSectors_code_level2,case_caseSectors_code_level3,has_keyword_hit
C.1886,NaceSectorsJ_60,J.60 - Programming and broadcasting activities,NaceSectorsJ,NaceSectorsJ_60,NaceSectorsJ_60,0
C.1887,NaceSectorsJ_60,J.60 - Programming and broadcasting activities,NaceSectorsJ,NaceSectorsJ_60,NaceSectorsJ_60,0
M.10,NaceSectorsC_10_1_1,C.10.11 - Processing and preserving of meat,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10_1,0
M.10000,NaceSectorsE_38,"E.38 - Waste collection, treatment and disposal activities; materials recovery",NaceSectorsE,NaceSectorsE_38,NaceSectorsE_38,0
M.10001,NaceSectorsJ_58_2_1,J.58.21 - Publishing of computer games,NaceSectorsJ,NaceSectorsJ_58,NaceSectorsJ_58_2,0
M.10002,NaceSectorsC_33_1_7,C.33.17 - Repair and maintenance of other transport equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_1,0
M.10003,NaceSectorsC_10_4_1,C.10.41 - Manufacture of oils and fats,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10_4,0
M.10003,NaceSectorsC_10_8,C.10.8 - Manufacture of other food products,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10_8,0
M.10003,NaceSectorsC_20_1_1,C.20.11 - Manufacture of industrial gases,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_1,0
M.10003,NaceSectorsD_35_1_1,D.35.11 - Production of electricity,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10003,NaceSectorsD_35_2,D.35.2 - Manufacture of gas; distribution of gaseous fuels through mains,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.10004,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.10004,NaceSectorsC_20_4_1,"C.20.41 - Manufacture of soap and detergents, cleaning and polishing preparations",NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_4,0
M.10004,NaceSectorsC_21,C.21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,NaceSectorsC,NaceSectorsC_21,NaceSectorsC_21,0
M.10005,NaceSectorsK_65_3,K.65.3 - Pension funding,NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65_3,0
M.10005,NaceSectorsK_66_2_9,K.66.29 - Other activities auxiliary to insurance and pension funding,NaceSectorsK,NaceSectorsK_66,NaceSectorsK_66_2,0
